Student_ID,Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status
28028,18,Female,B.Sc,IT,8.57,0,3,10,7,88,4,2,1,Not Placed
4317,23,Female,B.Tech,IT,6.27,2,3,5,5,84,9,0,0,Placed
28611,22,Female,B.Sc,IT,7.3,1,5,6,9,76,1,1,0,Placed
90550,21,Male,B.Sc,IT,7.67,1,3,10,2,96,7,2,0,Placed
49549,21,Male,B.Sc,ME,7.82,0,2,2,5,68,9,2,0,Placed
42001,24,Male,B.Tech,ECE,7.95,0,6,2,8,39,7,1,0,Placed
46417,18,Male,BCA,CSE,7.19,0,6,4,3,76,4,2,0,Placed
27892,22,Female,MCA,CSE,7.47,0,4,3,8,81,3,2,0,Placed
87891,19,Female,MCA,IT,6.88,3,3,6,5,43,1,2,3,Not Placed
74236,18,Female,B.Tech,IT,6.79,1,4,4,10,67,3,0,0,Placed
35119,21,Male,B.Sc,ECE,7.24,0,6,5,7,88,6,0,0,Placed
19012,24,Male,B.Tech,IT,6.72,0,1,2,3,47,2,1,0,Placed
87802,23,Female,B.Sc,IT,7.76,3,3,10,4,76,1,0,1,Placed
2042,23,Male,B.Tech,Civil,5.79,1,5,6,2,68,4,1,0,Placed
32186,23,Male,BCA,CSE,6.19,0,4,8,10,74,6,0,3,Not Placed
85720,23,Female,BCA,Civil,7.03,1,1,9,3,69,9,0,0,Placed
42944,21,Female,B.Tech,IT,8.83,1,1,8,5,94,7,1,0,Placed
18971,18,Male,BCA,CSE,4.58,1,6,1,9,77,5,3,1,Placed
87726,23,Male,B.Tech,ECE,6.52,0,2,10,3,41,5,2,0,Placed
88756,21,Female,B.Tech,Civil,5.53,0,1,4,5,78,4,3,0,Placed
28653,21,Female,BCA,IT,8.61,0,4,2,8,36,10,1,0,Placed
25211,20,Male,BCA,ME,6.63,2,1,1,1,93,6,3,3,Not Placed
98906,19,Female,BCA,CSE,5.99,2,5,4,4,47,9,2,0,Placed
32429,24,Male,B.Sc,CSE,7.79,2,3,8,7,45,10,2,0,Placed
78197,23,Female,BCA,ECE,7.9,2,3,5,10,67,7,2,0,Placed
75349,22,Male,MCA,ME,6.74,1,6,10,3,71,4,0,0,Placed
27480,20,Female,B.Sc,ME,8.01,1,5,6,4,59,1,0,1,Placed
87104,23,Female,B.Sc,ECE,8.03,0,4,3,6,91,6,2,3,Not Placed
46314,21,Male,MCA,CSE,8.05,0,4,2,4,61,10,2,0,Placed
66937,21,Male,B.Sc,CSE,5.82,2,5,5,1,43,2,0,2,Not Placed
50003,21,Female,B.Sc,IT,6.54,0,4,3,5,93,6,0,1,Placed
10946,19,Male,BCA,ECE,6.89,2,3,8,7,94,10,2,0,Placed
66620,18,Female,B.Sc,Civil,6.29,0,1,8,1,49,8,2,0,Placed
63212,21,Male,B.Tech,CSE,7.21,1,4,4,3,90,9,2,0,Placed
63081,24,Male,B.Tech,CSE,5.75,1,5,8,2,49,10,1,0,Placed
59352,18,Female,B.Tech,IT,7.88,1,1,5,10,79,5,1,0,Placed
97686,24,Male,B.Tech,Civil,8.18,1,6,10,8,73,2,3,0,Placed
46385,23,Female,BCA,ME,5.54,0,2,6,2,50,9,1,3,Not Placed
27050,19,Male,B.Tech,ME,9.64,3,4,4,4,89,6,1,1,Placed
33551,22,Male,MCA,ME,7.42,1,1,1,6,98,6,0,0,Placed
42292,19,Male,MCA,ME,7.7,0,4,6,3,68,3,3,0,Placed
74733,23,Male,B.Tech,Civil,8.11,0,1,10,2,68,1,0,0,Placed
76568,22,Female,B.Sc,ME,7.28,1,4,7,7,91,9,3,0,Placed
34296,20,Male,B.Sc,CSE,6.57,0,2,4,1,64,8,3,0,Placed
70884,18,Male,B.Tech,CSE,6.77,0,5,5,9,67,5,2,0,Placed
17246,24,Female,BCA,ECE,7.97,2,1,2,9,41,4,3,0,Placed
72854,21,Male,BCA,ECE,7.3,0,5,3,2,36,4,0,0,Placed
40919,24,Male,BCA,CSE,5.39,0,2,5,7,45,3,1,2,Not Placed
984,22,Female,B.Tech,CSE,7.93,1,1,7,6,97,5,3,2,Not Placed
78837,23,Female,B.Tech,Civil,6.17,2,4,7,3,39,9,0,0,Placed
36528,23,Male,B.Tech,ECE,6.52,1,6,4,9,86,8,2,0,Placed
56427,19,Female,BCA,IT,7.34,0,4,8,4,68,2,0,0,Placed
48440,20,Male,MCA,ECE,8.91,2,6,4,6,83,8,0,0,Placed
5091,21,Male,BCA,CSE,9.47,1,1,10,2,77,5,2,0,Placed
80395,21,Male,BCA,IT,6.4,1,2,2,10,87,1,1,0,Placed
29014,18,Female,BCA,Civil,7.72,0,2,9,1,42,4,2,1,Not Placed
27516,21,Male,BCA,IT,7.66,0,2,1,7,69,5,3,0,Placed
98677,19,Female,B.Tech,ECE,6.06,3,4,8,7,52,5,2,0,Placed
79805,23,Male,BCA,ME,8.07,0,5,5,1,43,3,3,0,Not Placed
24496,22,Male,B.Tech,ME,5.59,0,6,3,9,91,6,0,0,Placed
84023,24,Female,B.Tech,CSE,9.01,1,4,2,10,63,6,0,1,Placed
97110,23,Female,B.Sc,IT,5.62,1,6,10,3,45,7,0,0,Placed
30482,20,Male,BCA,ECE,6.86,2,5,4,9,74,8,2,0,Placed
44719,24,Male,BCA,CSE,7.89,1,5,10,2,97,3,0,0,Placed
87680,20,Female,MCA,CSE,8.04,3,4,4,1,59,2,2,0,Placed
75065,20,Male,BCA,CSE,6.78,2,5,6,10,63,1,3,1,Placed
29804,24,Male,B.Tech,IT,7.77,2,6,3,2,66,7,1,0,Placed
67370,20,Male,B.Tech,ME,7.2,3,2,5,5,81,8,0,2,Not Placed
47585,18,Female,MCA,CSE,8.55,0,3,2,3,60,5,0,0,Placed
44051,21,Male,BCA,ME,6.82,1,6,10,4,62,8,2,0,Placed
10078,23,Male,B.Tech,Civil,7.13,2,6,1,1,53,9,2,0,Placed
87097,19,Male,B.Tech,ECE,7.55,0,6,3,9,89,2,1,1,Not Placed
98668,21,Male,B.Tech,IT,6.42,1,5,8,3,67,5,2,0,Placed
90226,18,Male,MCA,Civil,7.61,1,4,5,8,62,3,0,0,Placed
15669,22,Male,B.Tech,ME,6.85,3,6,2,7,77,8,1,0,Placed
87035,21,Female,BCA,Civil,5.79,0,2,7,1,77,6,2,0,Placed
6681,20,Male,B.Tech,CSE,6.82,1,3,7,6,70,2,3,2,Placed
24290,19,Male,BCA,Civil,7.24,1,4,6,7,67,7,1,0,Placed
54936,21,Female,B.Tech,ME,6.87,0,3,9,6,90,1,2,3,Not Placed
32882,22,Male,B.Tech,ECE,5.97,0,4,8,4,42,10,3,1,Placed
61593,24,Male,B.Tech,Civil,8.15,1,3,6,4,89,2,3,2,Placed
56246,21,Male,B.Tech,ECE,5.89,1,6,7,6,77,4,3,0,Placed
56177,19,Male,B.Sc,ME,6.7,1,1,3,3,80,9,0,0,Placed
67954,23,Female,B.Tech,IT,5.92,1,5,1,4,83,4,1,0,Placed
28254,22,Female,B.Sc,CSE,5.68,0,5,10,6,63,5,3,0,Placed
55724,22,Female,B.Tech,IT,7.36,1,2,5,10,96,4,0,0,Placed
79509,18,Male,B.Tech,ECE,7.1,1,6,1,6,35,1,0,1,Placed
8629,20,Female,B.Tech,IT,5.41,1,5,8,3,73,5,3,1,Placed
72350,23,Male,MCA,ME,5.8,0,1,3,6,85,10,2,1,Placed
9588,23,Male,B.Sc,IT,7.54,2,4,3,3,47,3,2,0,Placed
57496,21,Male,BCA,ECE,6.74,0,6,9,1,79,7,2,0,Not Placed
62119,23,Male,BCA,ECE,8.21,1,6,4,5,88,10,3,0,Placed
72344,23,Male,MCA,IT,7.36,1,1,6,8,35,5,2,0,Placed
60367,20,Male,B.Tech,CSE,6.11,2,2,9,9,80,1,3,0,Placed
2256,24,Female,BCA,ECE,8.32,2,4,1,3,67,4,3,0,Placed
75220,20,Female,BCA,Civil,6.96,0,2,3,5,77,3,2,0,Placed
46072,19,Female,B.Tech,IT,8.42,1,3,4,5,93,2,0,0,Placed
38495,22,Male,BCA,CSE,6.74,1,1,5,4,51,6,2,0,Placed
72038,22,Male,BCA,IT,6.76,2,3,10,8,39,2,3,0,Placed
98764,18,Female,MCA,ME,7.6,0,4,1,8,73,5,1,0,Not Placed
62643,23,Male,B.Tech,CSE,8.39,1,3,7,9,85,3,1,0,Placed
53174,19,Male,BCA,CSE,6.78,0,6,4,6,87,9,0,0,Placed
8407,23,Male,MCA,IT,7.83,2,4,3,8,45,2,3,0,Placed
43436,18,Male,B.Tech,CSE,7.03,2,1,5,10,75,7,3,0,Placed
76101,23,Male,BCA,ME,6.84,1,3,1,10,52,8,3,0,Placed
92842,23,Female,B.Sc,IT,6.97,1,2,8,7,45,10,3,0,Placed
40811,23,Female,B.Tech,IT,6.6,2,3,2,1,93,4,0,0,Placed
56869,22,Female,MCA,ECE,6.48,2,5,8,1,70,6,0,1,Placed
34107,21,Male,B.Tech,IT,9.31,0,1,9,3,71,4,0,0,Placed
3010,22,Male,MCA,CSE,6.81,1,6,4,2,92,10,3,0,Placed
45062,19,Female,B.Tech,CSE,6.73,2,5,4,5,56,2,1,0,Placed
